customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,France,Female,42,-1.0417596792253108,0.0,-0.9115834940401768,1,1,0.021886493995386117,1
15647311,608,Spain,Female,41,-1.3875375865624426,83807.86,-0.9115834940401768,0,1,0.21653375188734025,0
15619304,502,France,Female,42,1.03290776479748,159660.8,2.52705661927622,1,0,0.24068690006348814,1
15701354,699,France,Female,39,-1.3875375865624426,0.0,0.8077365626180215,0,0,-0.10891791702847127,0
15737888,850,Spain,Female,43,-1.0417596792253108,125510.82,-0.9115834940401768,1,1,-0.36527578251440274,0
15574012,645,Spain,Male,44,1.03290776479748,113755.78,0.8077365626180215,1,0,0.8636502870218095,1
15592531,822,France,Male,50,0.6871298574603482,0.0,0.8077365626180215,1,1,-1.5654872211931183,0
15656148,376,Germany,Female,29,-0.3502038645510472,115046.74,4.246376675934418,1,0,0.33485372981012046,1
15792365,501,France,Male,44,-0.3502038645510472,142051.07,0.8077365626180215,0,1,-0.4373288460949081,0
15592389,684,France,Male,27,-1.0417596792253108,134603.88,-0.9115834940401768,1,1,-0.49323048409247083,0
15767821,528,France,Male,31,0.3413519501232164,102016.72,0.8077365626180215,0,0,-0.34619970089236274,0
15737173,497,Spain,Male,24,-0.695981771888179,0.0,0.8077365626180215,1,0,-0.412123315592307,0
15632264,476,France,Female,34,1.7244635794717436,0.0,0.8077365626180215,1,0,-1.283817056739873,0
15691483,549,France,Female,25,-0.0044259572139154,0.0,0.8077365626180215,0,0,1.5783569986897874,0
15600882,635,Spain,Female,35,0.6871298574603482,0.0,0.8077365626180215,1,1,-0.5936359656444845,0
15643966,616,Germany,Male,45,-0.695981771888179,143129.41,0.8077365626180215,0,1,-0.6218824846013182,0
15737452,653,Germany,Male,58,-1.3875375865624426,132602.88,-0.9115834940401768,1,0,-1.651825870574206,1
15788218,549,Spain,Female,24,1.378685672134612,0.0,0.8077365626180215,1,1,-1.4899561835690913,0
15661507,587,Spain,Male,45,0.3413519501232164,0.0,-0.9115834940401768,0,0,1.0189010247747559,0
15568982,726,France,Female,24,0.3413519501232164,0.0,0.8077365626180215,1,1,-0.7888730584424746,0
15577657,732,France,Male,41,1.03290776479748,0.0,0.8077365626180215,1,1,1.2310704831801604,0
15597945,636,Spain,Female,32,1.03290776479748,0.0,0.8077365626180215,1,0,0.6688717421740601,0
15699309,510,Spain,Female,38,-0.3502038645510472,0.0,-0.9115834940401768,1,0,0.32731820632749364,1
15725737,669,France,Male,46,-0.695981771888179,0.0,0.8077365626180215,0,1,-1.5928757668520803,0
15625047,846,France,Female,38,-0.0044259572139154,0.0,-0.9115834940401768,1,1,1.5219882921316075,0
15738191,577,France,Male,25,-0.695981771888179,0.0,0.8077365626180215,0,1,0.42460549226186645,0
15736816,756,Germany,Male,36,-1.0417596792253108,136815.64,-0.9115834940401768,1,1,1.2163903409521621,0
15700772,571,France,Male,44,1.378685672134612,0.0,0.8077365626180215,0,0,-1.0721517054667205,0
15728693,574,Germany,Female,43,-0.695981771888179,141349.43,-0.9115834940401768,1,1,0.001690039053891126,0
15656300,411,France,Male,29,-1.7333154938995745,59697.17,0.8077365626180215,1,1,-0.8104496783748915,0
15589475,591,Spain,Female,39,-0.695981771888179,0.0,2.52705661927622,1,0,0.7021528985231289,1
15706552,533,France,Male,36,0.6871298574603482,85311.7,-0.9115834940401768,0,1,0.9849420451757676,0
15750181,553,Germany,Male,41,1.378685672134612,110112.54,0.8077365626180215,0,0,-0.31633078816391447,0
15659428,520,Spain,Female,42,0.3413519501232164,0.0,0.8077365626180215,1,1,-1.1421041777545031,0
15732963,722,Spain,Female,29,1.378685672134612,0.0,0.8077365626180215,1,1,0.7293439051333712,0
15794171,475,France,Female,45,-1.7333154938995745,134264.04,-0.9115834940401768,1,0,-1.2566552636509198,1
15788448,490,Spain,Male,31,-0.695981771888179,145260.23,-0.9115834940401768,0,1,0.2430378929672636,0
15729599,804,Spain,Male,33,0.6871298574603482,76548.6,-0.9115834940401768,0,1,-0.028462140497060744,0
15717426,850,France,Male,36,0.6871298574603482,0.0,-0.9115834940401768,1,1,-1.030773708690248,0
15585768,582,Germany,Male,41,0.3413519501232164,70349.48,0.8077365626180215,0,1,1.3560603601273575,0
15619360,472,Spain,Male,40,-0.3502038645510472,0.0,-0.9115834940401768,1,0,-0.5205574726887156,0
15738148,465,France,Female,51,1.03290776479748,122522.32,-0.9115834940401768,0,0,1.4121157168917053,1
15687946,556,France,Female,61,-1.0417596792253108,117419.35,-0.9115834940401768,1,1,-0.10322823597732225,0
15755196,834,France,Female,49,-1.0417596792253108,131394.56,-0.9115834940401768,0,0,1.6393570917124016,1
15684171,660,Spain,Female,61,-0.0044259572139154,155931.11,-0.9115834940401768,1,1,1.0128771271288544,0
15754849,776,Germany,Female,32,-0.3502038645510472,109421.13,0.8077365626180215,1,1,0.45954295093404635,0
15602280,829,Germany,Female,27,1.378685672134612,112045.67,-0.9115834940401768,1,1,0.3411368974574667,1
15771573,637,Germany,Female,39,1.378685672134612,137843.8,-0.9115834940401768,1,1,0.3048737013667674,1
15766205,550,Germany,Male,38,-1.0417596792253108,103391.38,-0.9115834940401768,0,1,-0.16018938579165296,0
15771873,776,Germany,Female,37,-1.0417596792253108,103769.22,0.8077365626180215,1,0,1.6347204885477364,0
15616550,698,Germany,Male,44,1.7244635794717436,116363.37,0.8077365626180215,1,0,1.7035816271473465,0
15768193,585,Germany,Male,36,-0.0044259572139154,146050.97,0.8077365626180215,0,0,-0.23763234405007433,0
15683553,788,France,Female,33,-0.0044259572139154,0.0,0.8077365626180215,0,0,0.2936645775819838,0
15702298,655,Germany,Male,41,1.03290776479748,125561.97,-0.9115834940401768,0,0,1.1120387734559636,1
15569590,601,Germany,Male,42,-1.3875375865624426,98495.72,-0.9115834940401768,1,0,-1.0446525657628767,1
15760861,619,France,Male,43,-1.3875375865624426,125211.92,-0.9115834940401768,1,1,0.23162583954352245,0
15630053,656,France,Male,45,-0.0044259572139154,127864.4,-0.9115834940401768,1,0,-0.22575565652582366,0
